iter	Logloss
0	0.6813852255
1	0.6691345412
2	0.6578618022
3	0.6469622533
4	0.6402210618
5	0.6315291157
6	0.6223831917
7	0.6165386969
8	0.6084191118
9	0.6029275279
10	0.5976437401
11	0.592625689
12	0.5861034208
13	0.5811063073
14	0.5766062978
15	0.5728531295
16	0.5682508681
17	0.5622914797
18	0.5574280246
19	0.5523303051
20	0.5494696855
21	0.5463534687
22	0.542107114
23	0.5392839253
24	0.5367008938
25	0.5337710087
26	0.529865911
27	0.5267085103
28	0.5238698488
29	0.5215399453
30	0.5186535487
31	0.5155415129
32	0.5125387412
33	0.5101928053
34	0.5073832787
35	0.5048161808
36	0.5032355217
37	0.5009844306
38	0.4987605979
39	0.4971962675
40	0.4955057846
41	0.4937210824
42	0.4915751403
43	0.4901074653
44	0.4884106287
45	0.486825657
46	0.485725872
47	0.484185047
48	0.4826417201
49	0.4814177249
50	0.480370251
51	0.4794457033
52	0.478249197
53	0.4772241751
54	0.4761777217
55	0.475350883
56	0.4739213633
57	0.4730614062
58	0.4718304318
59	0.4712145166
60	0.4702842737
61	0.4693797748
62	0.4683831306
63	0.4672689592
64	0.4661013244
65	0.4651793446
66	0.4645735032
67	0.4637231261
68	0.4629510676
69	0.4623215232
70	0.4613176364
71	0.4602333571
72	0.459471932
73	0.4585301997
74	0.4578357026
75	0.4573384669
76	0.4565181135
77	0.455886133
78	0.4554400562
79	0.4549503265
80	0.4545035254
81	0.4538198922
82	0.4532058535
83	0.4523627519
84	0.4515953681
85	0.4510118141
86	0.450321037
87	0.449701336
88	0.4491087616
89	0.4483743974
90	0.4477827119
91	0.4474071186
92	0.4469357915
93	0.446295515
94	0.4457133765
95	0.4451475997
96	0.4447610767
97	0.4442623595
98	0.4434880624
99	0.4429159648
100	0.4421193803
101	0.441444899
102	0.441104893
103	0.4405500789
104	0.4401642471
105	0.4394752807
106	0.4390148175
107	0.4385066192
108	0.43802163
109	0.4373543584
110	0.4368542915
111	0.4362445654
112	0.435938007
113	0.4355196824
114	0.4351190363
115	0.4346876422
116	0.4344352714
117	0.43413161
118	0.4337644772
119	0.4334191381
120	0.4328923395
121	0.432604941
122	0.4321969206
123	0.4317583498
124	0.4314346067
125	0.4310499601
126	0.4306537583
127	0.4302903456
128	0.4300313906
129	0.4297712505
130	0.4292623279
131	0.4288713276
132	0.4283451216
133	0.4280100537
134	0.427427619
135	0.4270126524
136	0.4266101956
137	0.4262063233
138	0.4257730527
139	0.4254629388
140	0.4251957866
141	0.4249284039
142	0.4246174999
143	0.4243482736
144	0.4239106245
145	0.4235932351
146	0.4231924244
147	0.4229958873
148	0.4227192209
149	0.4223811572
150	0.4219871282
151	0.42166885
152	0.4214170059
153	0.4211589727
154	0.4209923276
155	0.4207207969
156	0.4203563637
157	0.4199180562
158	0.4196103126
159	0.4193692007
160	0.4191173566
161	0.4188337439
162	0.418602607
163	0.4184373446
164	0.4181654188
165	0.4178919129
166	0.4175676759
167	0.4173146138
168	0.417072218
169	0.416776688
170	0.4165537483
171	0.4162713537
172	0.416107079
173	0.4158092116
174	0.4155928561
175	0.4153147742
176	0.4150896947
177	0.4148416694
178	0.4146484902
179	0.4144184396
180	0.4142482391
181	0.413954421
182	0.4136825282
183	0.4134668311
184	0.4131740994
185	0.4131212615
186	0.4127677251
187	0.4125481434
188	0.4123346191
189	0.4121459171
190	0.4118741559
191	0.4115883046
192	0.4114013145
193	0.411182885
194	0.4109133954
195	0.4106338649
196	0.4103735273
197	0.4102189641
198	0.4101228683
199	0.4099256727
200	0.4097492831
201	0.409429688
202	0.4092263363
203	0.4090803655
204	0.4087782513
205	0.4084988525
206	0.4083439602
207	0.4081352423
208	0.407935051
209	0.4076961118
210	0.4074495021
211	0.4072461833
212	0.4070014172
213	0.4068073491
214	0.4065701877
215	0.4063787203
216	0.4062239267
217	0.4059429477
218	0.4057644512
219	0.4055285078
220	0.4052737338
221	0.4050773612
222	0.404915786
223	0.404665555
224	0.4044500225
225	0.4042940438
226	0.4041482705
227	0.4040014109
228	0.4037646116
229	0.4035217878
230	0.4032379447
231	0.402909428
232	0.4026877394
233	0.4025057203
234	0.4023684406
235	0.4021717718
236	0.4019018871
237	0.4017433405
238	0.40154654
239	0.4012885726
240	0.4010791635
241	0.4009328964
242	0.4007623337
243	0.4004681864
244	0.400283369
245	0.400115868
246	0.3998736368
247	0.3997051811
248	0.399418013
249	0.3992190726
250	0.3989446119
251	0.3988512486
252	0.3986983315
253	0.3986001617
254	0.3983116109
255	0.3981010495
256	0.3979073106
257	0.3977410276
258	0.3975832053
259	0.3974460244
260	0.3972633469
261	0.3970330659
262	0.396766177
263	0.3965991369
264	0.3964178421
265	0.3962019804
266	0.3959629754
267	0.3958158524
268	0.3956685647
269	0.3955119276
270	0.3953125263
271	0.3951503585
272	0.3949383486
273	0.3948110438
274	0.3946463411
275	0.3945154151
276	0.3943696089
277	0.3942248232
278	0.3940857658
279	0.3938516331
280	0.3935584075
281	0.3933372127
282	0.3931807073
283	0.3929092753
284	0.3927043433
285	0.392566504
286	0.392235617
287	0.3920850044
288	0.3919316922
289	0.3918412917
290	0.3916485734
291	0.3914879858
292	0.391305835
293	0.3911545968
294	0.3909397887
295	0.3908173233
296	0.390657855
297	0.3904799839
298	0.3903181123
299	0.390053495
300	0.3898118563
301	0.3896634494
302	0.3894876194
303	0.3893210073
304	0.3891180176
305	0.3889155877
306	0.3887945379
307	0.3886594309
308	0.3884119324
309	0.3881964658
310	0.3880690952
311	0.3878913888
312	0.3876238744
313	0.3874725704
314	0.3872283639
315	0.3870430857
316	0.3868158005
317	0.3867194743
318	0.3865002218
319	0.3863095445
320	0.3861255173
321	0.3860274791
322	0.3858465464
323	0.3856345365
324	0.3854848786
325	0.3852977568
326	0.3851130711
327	0.3849485329
328	0.3848128663
329	0.3845674418
330	0.3843258032
331	0.3841592898
332	0.383930589
333	0.3837131471
334	0.3835645756
335	0.3833306075
336	0.3831030589
337	0.3828869668
338	0.3827539339
339	0.3826264975
340	0.3824585356
341	0.3823568762
342	0.3820826459
343	0.3819382224
344	0.3818504885
345	0.381704781
346	0.3814471429
347	0.3813327761
348	0.3811128322
349	0.3809954037
350	0.3808099938
351	0.3806966146
352	0.3804979047
353	0.3802284809
354	0.3800607165
355	0.3799339056
356	0.3797579768
357	0.3795901466
358	0.3794487847
359	0.3792544203
360	0.3791231322
361	0.3789115832
362	0.3787810851
363	0.3785883339
364	0.3784377871
365	0.378216691
366	0.3780536014
367	0.3778285548
368	0.377657235
369	0.3774433815
370	0.3772821354
371	0.377133498
372	0.376956022
373	0.3766348138
374	0.3764200715
375	0.3762276494
376	0.3760404288
377	0.3757382159
378	0.3755801303
379	0.3754694506
380	0.3752935547
381	0.3751288849
382	0.3748924148
383	0.3746486693
384	0.3744061747
385	0.3742817341
386	0.3741633838
387	0.3740512227
388	0.3739390286
389	0.3737752476
390	0.3736307912
391	0.3734347478
392	0.3732661604
393	0.3731306913
394	0.3730199458
395	0.3727689576
396	0.3726031027
397	0.3724526546
398	0.3722718536
399	0.372068008
400	0.3718659073
401	0.371696859
402	0.3714284557
403	0.3712281327
404	0.3711167287
405	0.370947845
406	0.3708345975
407	0.3706347024
408	0.3703981665
409	0.3701915556
410	0.3700212234
411	0.3698719276
412	0.3696857275
413	0.3694213406
414	0.3692413626
415	0.3691135641
416	0.3689210104
417	0.3687914012
418	0.3686547799
419	0.3684860937
420	0.3683437442
421	0.3682015593
422	0.3679877387
423	0.3678599402
424	0.3676873035
425	0.3675492337
426	0.3674143243
427	0.3672484693
428	0.3671389089
429	0.3669438203
430	0.3667302301
431	0.3665955182
432	0.3664511935
433	0.3662825402
434	0.36611099
435	0.3659682454
436	0.3657814199
437	0.3655590728
438	0.3652403337
439	0.3650612775
440	0.3648826492
441	0.3646812727
442	0.3643962774
443	0.3642697298
444	0.3641350838
445	0.3639690313
446	0.3638022545
447	0.3637806914
448	0.3636017669
449	0.3634581664
450	0.3633336599
451	0.3631848908
452	0.3629462151
453	0.3627768705
454	0.3624730774
455	0.3622042132
456	0.3620555429
457	0.3619172756
458	0.3617757491
459	0.3616204287
460	0.3613699015
461	0.3611083458
462	0.3609372893
463	0.3607678789
464	0.3605676546
465	0.3603331927
466	0.3602211303
467	0.3599992441
468	0.3598897496
469	0.3596648347
470	0.3594682317
471	0.3592180666
472	0.3591290817
473	0.3588835913
474	0.3587192836
475	0.3586180851
476	0.3583267689
477	0.3580980682
478	0.3579143701
479	0.357610149
480	0.3575431552
481	0.3573945837
482	0.3571755616
483	0.3570604376
484	0.3568956032
485	0.3567603974
486	0.3566084021
487	0.3564538719
488	0.3562819924
489	0.3562010402
490	0.356059382
491	0.3558414134
492	0.3556837557
493	0.3555428218
494	0.3553669589
495	0.3551486611
496	0.3549641071
497	0.3547803103
498	0.3546191959
499	0.3544528471
500	0.3541676543
501	0.3539384268
502	0.3537154872
503	0.3535652037
504	0.3534577502
505	0.3532095933
506	0.3530773175
507	0.3529513296
508	0.3526632397
509	0.3524659783
510	0.3523569447
511	0.3521468441
512	0.3520898253
513	0.3518975679
514	0.3517238448
515	0.3514917861
516	0.3513304742
517	0.3511541504
518	0.350968543
519	0.3507452412
520	0.3505479798
521	0.3503528912
522	0.3502088956
523	0.350143054
524	0.3499705161
525	0.3497962993
526	0.3496896359
527	0.3494345327
528	0.3492023752
529	0.3490543633
530	0.3488150291
531	0.348663363
532	0.3484912531
533	0.3482317384
534	0.3480917921
535	0.347941377
536	0.3477230792
537	0.347557751
538	0.3474074675
539	0.3472368061
540	0.3470567294
541	0.3469200093
542	0.3466515402
543	0.346447135
544	0.346242631
545	0.3461117379
546	0.3459312661
547	0.3457514198
548	0.3456133171
549	0.3453446504
550	0.3452860185
551	0.3452249175
552	0.3450311128
553	0.3449017341
554	0.3446854115
555	0.3445758511
556	0.3444315592
557	0.3442219196
558	0.3439686599
559	0.3438976169
560	0.3437346918
561	0.3435807542
562	0.3433808262
563	0.3432370611
564	0.3430575769
565	0.3428599204
566	0.342709637
567	0.3425650489
568	0.3424329048
569	0.3423742728
570	0.342243709
571	0.3421071535
572	0.3419382698
573	0.3417312968
574	0.3415377225
575	0.3413840482
576	0.3412099301
577	0.3410147427
578	0.3409007051
579	0.340683362
580	0.3405740649
581	0.3403564914
582	0.3401952783
583	0.3400315302
584	0.3398482931
585	0.339666274
586	0.3394280262
587	0.3393758796
588	0.3393246549
589	0.3392521304
590	0.3390104588
591	0.3388598791
592	0.3387178588
593	0.3385561518
594	0.3384248637
